Food_ID,Food name and Description,Alternate/Common name(s),Water (g),"Energy, calculated (kcal)",Protein (g),Total Fat (g),"Carbohydrate, total (g)","Ash, total (g)",Image Link
A174,"Rice cake, bibingka, w/ cheese & coconut topping","Bibingkang galapong, may keso at niyog",45.6,223,2.8,2.6,47.2,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A174_BibingkaGalapongKesoNiyog2.jpg
A175,"Rice cake, puto bumbong, purple",Puto bumbong,38.4,252,3.5,1.3,56.5,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A175_copy1.png
A176,"Rice cake, puto, brown","Puto, brown",48.1,206,2,0.1,49.3,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1761.png
A177,"Rice cake, puto, white",Puto puti,46.6,214,2.8,0.3,49.9,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A177_copy1.png
A178,"Rice cake, puto, white, w/ grtd coconut topping","Puto puti, may niyog",47.9,209,2.7,1.1,47.1,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A178_copy1.png
A179,"Rice cake, cuchinta",Cuchinta/Kutsinta,58.9,166,1.4,0.8,38.4,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize224.jpg
A180,"Rice cake, cuchinta, w/ grtd coconut topping","Cuchinta/Kutsinta, may niyog",62.3,165,1.6,3.2,32.4,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A180_copy1.png
A181,Rice flour,"Arina, bigas",10.2,358,7.6,0.3,81.3,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1811.png
A182,"Rice flour prep, tamales",Tamales,75.2,101,1.3,0.9,21.8,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A182new.png
A183,"Rice gruel, thin","Lugaw, malabnaw",82.8,71,1.4,1.1,13.9,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A183.png
A184,"Rice prep (glutinous), butse, w/ mung bean filling","Butse/Buchi, munggo",32,329,6.4,12,48.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A184.png
A185,"Rice prep (glutinous), butse, w/ sweet potato filling","Butse/Buchi, kamote",32,310,5.6,8.2,53.5,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1851.png
A186,"Rice prep (glutinous), kalamay, w/ coconut curd topping","Kalamay, may latik",48.2,208,2.7,0.4,48.5,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A186_Kalamay.png
A187,"Rice prep (glutinous), kalamay, w/ yam","Kalamay, ube",55.5,178,2.2,0.3,41.7,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A187_copy1.png
A188,"Rice prep (glutinous), palitaw",Palitaw,51.8,206,2.6,2.8,42.5,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1881.png
A189,"Rice prep (glutinous), palitaw, w/ grtd coconut & sugar","Palitaw, may niyog at asukal",52.1,213,2.6,4.5,40.5,0.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A1891.png
A190,"Rice prep (glutinous), sapin-sapin",Sapin-sapin,68.1,129,1.1,0.4,30.3,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A190_copy1.png
A191,"Rice prep (glutinous), suman sa ibos",Suman sa ibos,57.5,171,3.1,0.7,38,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A191_copy1.png
A192,"Rice prep (glutinous), suman, lye-treated",Suman sa lihiya,52.3,191,3.2,0.4,43.6,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A192_copy1.png
A193,"Rice prep (glutinous), suman, w/ grtd coconut topping","Suman maruwekos, may niyog",49.8,211,2.6,2.4,44.8,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A193.png
A194,"Rice prep (glutinous), tupig",Tupig,27.5,300,3.6,2.6,65.6,0.7,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A194_rice_prep_(glutinous),_tupig1.png"
A195,"Rice prep, espasol",Espasol,25.8,312,4,3.6,65.8,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A195_copy1.png
A196,"Rice water, ckd, thin","Am, malabnaw",95.8,17,0.1,0.2,3.8,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A196.jpg
A197,"Rice, crispies",N/A,6.5,373,3,0.6,88.8,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A197_copy1.png
A198,"Rice-bread prep, toasted, puto seko",Puto seko,4.8,388,6,1.8,87,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A198-puto-seko1.png
A199,"Rice-bread prep, toasted, puto seko, w/ grtd coconut","Puto seko, may niyog",5.8,402,4.4,5.5,83.8,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize225.jpg
A200,"Spring roll wrapper, plain",Balat ng lumpia/Lumpia wrapper,20.2,316,10.6,0.5,67.2,1.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A200_spring_roll_wrapper,_plain1.png"
A201,"Wheat flour, all-purpose","Arina, trigo, all-purpose",12.3,352,12.6,0.8,73.7,0.6,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A201_wheat_flour,_all-purpose1.png"
A202,"Wheat flour, all-purpose, enr, bleached","Arina trigo, all-purpose, enr, pinaputi",9.8,377,11,3.6,75.2,0.4,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A202_wheat_flour,_all-purpose,_enr,_bleached1.png"
A203,"Wheat flour, cake flour, enr, bleached","Arina trigo, cake, enr, pinaputi",9.2,370,8.9,1.7,79.7,0.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/A203_wheat_flour,_cake_flour,_enr,_bleached1.png"
A204,"Instant noodles, chicken flvr, raw",-,5.2,429,10.5,17.5,57.3,9.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A204_copy1.png
A205,"Instant noodles, chicken flvr, ckd",-,89.5,48,1.3,2.1,6,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/A205_copy1.png
B001,Cassava,Kamoteng kahoy/Balinghoy,63,145,0.6,0.2,35.3,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B001_copy1.png
B002,"Cassava, boiled","Kamoteng kahoy/Balinghoy, nilaga",71.8,111,0.4,0.1,27.1,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B002_copy1.png
B003,"Cassava, yellow","Kamoteng kahoy/Balinghoy, dilaw",61,155,0.7,0.2,37.7,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize226.jpg
B004,East Indian arrowroot,Yabyaban,63.1,144,3.1,0.1,32.6,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/000.jpg
B005,"East Indian arrowroot, boiled","Yabyaban, nilaga",77.2,88,3.1,0.2,18.5,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/0001.jpg
B006,Palauan,Galiang/Swamp taro,61.4,153,0.5,0.2,37.3,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B006.png
B007,Potato,Patatas,79.9,78,2.4,0.1,16.8,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B007_potato1.png
B008,"Potato, boiled","Patatas, nilaga",83.8,63,1.7,0.1,13.7,0.7,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/B008_potato,_boiled1.png"
B009,"Sweet potato, purple","Kamote, murado",68.1,125,0.6,0.4,29.8,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B009_copy1.png
B010,"Sweet potato, purple, boiled","Kamote, murado, nilaga",68.6,122,0.6,0.2,29.5,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B0101.png
B011,"Sweet potato, white","Kamote, puti",73.5,105,0.7,0.5,24.3,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B0111.png
B012,"Sweet potato, white, boiled","Kamote, puti, nilaga",68.8,126,0.4,0.8,29.3,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B0111.png
B013,"Sweet potato, yellow","Kamote, dilaw",65.5,135,1.1,0.4,31.8,1.2,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/B013_sweet_potato,_yellow1.png"
B014,"Sweet potato, yellow, boiled","Kamote, dilaw, nilaga",68.1,128,0.5,0.3,30.7,0.4,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/B014_sweet,_potato,_yellow,_boiled1.png"
B015,Taro,Gabi,64.1,141,2.3,0.2,32.6,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B015_taro1.png
B016,"Taro, boiled","Gabi, nilaga",73.4,105,1.5,0.1,24.4,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B016_copy1.png
B017,White spot arum,Pongapong,84.4,61,3.1,0.2,11.7,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa.jpg
B018,"Yam, Luzon",Pakit/Kamangeg,74.7,99,2.5,0.1,22.1,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize2251.jpg
B019,"Yam, nami",Nami/Asiatic bitter yam,73.5,105,2.3,0.3,23.3,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/To_be_supplied_Photo_resize2252.jpg
B020,"Yam, purple",Ubi/Ube,74.9,97,1.7,0.2,22.2,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B0201.png
B021,"Yam, purple, boiled","Ubi/Ube, nilaga",80.4,77,0.7,0.1,18.2,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B021_copy1.png
B022,"Yam, spiny",Tugi/Lesser yam,67.3,141,1,2.7,28.2,0.8,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/B022_Yam,_spiny,_raw.png"
B023,"Yam, spiny, boiled","Tugi/Lesser yam, nilaga",83.8,69,0.4,1.2,14.1,0.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/B023_Yam,_spiny,_boiled.png"
B024,Yautia,Gabing Cebu,68.7,122,0.8,0.1,29.4,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa1.jpg
B025,Arrowroot starch,Uraro starch,12.6,351,0.1,0.5,86.4,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B0251.png
B026,"Cassava cake, bibingka","Kamoteng kahoy, bibingka",54.4,181,0.4,0.3,44.1,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B026_copy1.png
B027,Cassava flour,"Kamoteng kahoy, arina",9.5,362,1.1,0.7,87.8,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B027_cassava_flour1.png
B028,Cassava fritter,"Kamoteng kahoy, maruya",20.8,360,0.7,10,66.7,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B0281.png
B029,Cassava pudding,"Kamoteng kahoy, budin",49.3,203,1.2,0.5,48.4,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B029_copy1.png
B030,"Cassava, mashed, w/ sugar & marg","Kamoteng kahoy, linupak",55,183,0.4,1.3,42.4,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B0301.png
B031,"Cassava, suman","Kamoteng kahoy, suman",48.5,210,0.5,1.4,48.9,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B031_copy1.png
B032,East Indian arrowroot starch,Yabyaban starch,13.5,348,0.1,0.5,85.8,0.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa2.jpg
B033,"Potato chips, cheese flvr",N/A,3,556,6.2,36,51.8,3,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/B033_potato_chips,_cheese1.png"
B034,"Potato, French-fried",French fries,37.4,328,3.7,16.8,40.5,1.6,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/B034_potato,_french-fried1.png"
B035,Tapioca starch ball,Sago/Tapioca pearl,15.6,341,0.4,1.1,82.4,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B035.jpg
B036,"Tapioca starch ball, boiled","Sago, nilaga/Tapioca pearl, boiled",79.3,83,0,0.2,20.3,0.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B036.png
B037,"Sweet potato, w/ sugar, fried",Kamote cue,47.8,239,1.1,6.9,43.1,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B037.jpg
B038,"Yam, nami, brined","Nami, inasnan",83.3,66,1,0.2,15,0.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa3.jpg
B039,"Yam, nami, dried","Nami, tuyo",11.5,351,6.6,0.4,80.3,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa4.jpg
B040,"Yam, purple, pudding","Ubi, maja",53.5,187,1.2,0.8,43.8,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B040.png
B041,"Yam, purple, pudding,w/ grtd coconut topping","Ubi, maja, may niyog",53,191,1.7,1.2,43.4,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B041.png
B042,"Yacon tuber, raw",Peruvian ground apple,91,35,0.4,0.1,0.4,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B042_2.png
B043,"Sweet potato, orange",-,69.6,121,1.1,0.3,28.4,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/B0431.png
C002,"Cashew nut, roasted","Kasuy, binusa",6.2,603,19.2,47.4,24.8,2.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0021.png
C003,"Chestnut, roasted","Kastanyas, binusa",36.3,256,5,1.2,56.4,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C003resized.png
C004,"Chickpea, dried","Garbansos/Garbanzo, tuyo",10.4,377,19.2,6.2,61.2,3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C004_copy1.png
C005,"Chickpea, dried, boiled","Garbansos/Garbanzo, tuyo, nilaga",52.2,198,5.7,2,39.2,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C005_coppy1.png
C006,"Coconut meat, mature","Niyog, magulang",51.9,319,3.9,26.1,17.2,0.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0061.png
C007,"Coconut meat, very young","Buko, malauhog",90.5,42,0.8,1.3,6.8,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C007_copy.png
C008,"Coconut meat, young","Buko, malakanin",80.6,102,1.4,5.3,12.1,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0081.png
C009,Coconut sport,Makapuno,64.8,226,2.4,17.6,14.5,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0091.png
C010,"Cowpea seed, dried","Paayap buto, tuyo",9,358,20.4,1.5,65.8,3.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0101.png
C011,"Davao wonder bean seed, dried","Mecan pea buto, tuyo",12.6,351,23.4,2.7,58.3,3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa5.jpg
C014,"Coastal jack-bean seed, dried","Pataning-dagat buto, tuyo",9.4,364,24.1,2.8,60.7,3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa7.jpg
C015,"Coastal jack-bean seed, dried, boiled","Pataning-dagat buto, tuyo, nilaga",57.6,170,9.6,1.1,30.3,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa8.jpg
C016,"Java olive seed, dried","Kalumpang buto, tuyo",2.3,603,15.4,45,34.1,3.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa9.jpg
C017,"Kaatoan bangkal seed, dried",N/A,11.6,339,14.4,0.4,69.5,4.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa10.jpg
C018,"Kidney bean seed, black, dried","Abitsuwelas buto, itim, tuyo",5.2,374,20.2,1.9,69.1,3.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa11.jpg
C019,"Kidney bean seed, black, dried, boiled","Abitsuwelas buto, itim, tuyo, nilaga",69.9,117,3.9,0.6,24.1,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa12.jpg
C020,"Kidney bean seed, red, dried","Abitsuwelas buto, pula, tuyo",11.7,348,19.3,1.5,64.2,3.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/c020.jpg
C021,"Kidney bean seed, red, dried, boiled","Abitsuwelas buto, pula, tuyo, nilaga",64.9,138,7.9,0.9,24.6,1.7,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C021_kidney_snap_bean_seed,_red,_dried,_boiled1.png"
C022,"Kidney bean seed, white, dried","Abitsuwelas buto, puti, tuyo",9.4,354,18.8,1.1,67.1,3.6,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C022_kidney_snap_bean_seed,_white,_dried1.png"
C023,"Kidney bean seed, white, dried, boiled","Abitsuwelas buto, puti, tuyo, nilaga",64,142,6.5,0.7,27.3,1.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C023_kidney_snap_bean_seed,_white,_dried,_boiled_10-9C023_kidney_snap_bean_seed,_white,_dried,_boiled1.png"
C024,"Lima bean seed, dried","Patani buto, tuyo",10.2,348,19.8,1,64.9,4.1,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C024_lima_bean_seed,_dried1.png"
C025,"Marang seed, dried","Johey oak, seed",37.9,305,7.4,12.5,40.7,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0251.png
C026,"Marang seed, dried, boiled","Johey oak, seed, boiled",49,238,5.7,7.6,36.6,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0261.png
C027,"Mung bean seed, green, dried","Munggo buto, berde, tuyo",11.5,348,23.2,1.6,60.1,3.6,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C027_mung_bean_seed,_green,_dried1.png"
C028,"Mung bean seed, green, dried, boiled","Munggo buto, berde, tuyo, nilaga",60,155,11,0.3,27.1,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C028.jpg
C029,"Mung bean seed, red, dried","Munggo buto, pula, tuyo",11.4,347,22.2,1,62.2,3.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C029.jpg
C030,"Mung bean seed, red, dried, boiled","Munggo buto, pula, tuyo, nilaga",62,150,6.9,0.7,28.9,1.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C030_mung_bean_seed,_red,_dried,_boiled1.png"
C031,"Mung bean seed, yellow, dried","Munggo buto, dilaw, tuyo",7.1,365,23.5,1.4,64.5,3.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C031_mung_bean_seed,_yellow,_drieD1.png"
C032,"Mung bean seed, yellow, dried, boiled","Munggo buto, dilaw, tuyo, nilaga",70.3,116,7.2,0.3,21.1,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C032.jpg
C033,"Negro coffee seed, dried","Balatong aso buto, tuyo/Coffee senna seed, dried",6.3,373,17.5,2.6,69.8,3.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa13.jpg
C034,Peanut w/ shell,"Mani, may balat",31.5,31.5,17.4,26.6,22.9,1.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C034_peanut_w_shell1.png
C035,"Peanut w/ shell, boiled","Mani, may balat, nilaga",47.9,315,13,22.4,15.3,1.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C035.jpg
C036,"Peanut w/ skin, roasted","Mani, may balok, binusa",5.1,621,32.1,50.7,9.1,3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0361.png
C037,Peanut w/o skin,"Mani, walang balok",5.4,617,25.8,49.5,17.1,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0371.png
C038,"Peanut w/o skin, roasted","Mani, walang balok, binusa",3.8,629,33.2,51.8,7.6,3.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0381.png
C039,"Pigeon pea seed, dried","Kadyos buto, tuyo",10.6,348,21.2,1.2,63.2,3.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C039_copy1.png
C040,"Pigeon pea seed, dried, boiled","Kadyos buto, tuyo, nilaga",67.9,125,5.7,0.6,24.3,1.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C040_copy1.png
C041,Pili nut,Pili bunga,8,699,14.2,68.5,6.4,2.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0411.png
C042,"Rice bean seed, dried","Tapilan buto, tuyo",10.9,356,18.4,3.1,63.7,3.9,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C042.png
C043,"Sesame seed, dried","Linga, tuyo",2.8,642,25.1,53.5,15.1,3.5,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C043_sesame_seed,_dried1.png"
C044,"Soybean seed, dried","Utaw buto, tuyo",6.1,442,35.8,17.2,35.9,5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0441.png
C045,"Soybean seed, black, dried","Utaw buto, itim, tuyo",6.9,451,36.6,19.8,31.6,5.1,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C045_soy_bean_seed,_black,_dried1.png"
C046,"Soybean seed, black, dried, boiled","Utaw buto, itim, tuyo, nilaga",45.2,241,15.3,6.1,31.2,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa14.jpg
C047,"Soybean seed, yellow, dried","Utaw buto, dilaw, tuyo",5.4,456,35.8,19.5,34.2,5.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C074.png
C048,"Soybean seed, yellow, dried, boiled","Utaw buto, dilaw, tuyo, nilaga",40,267,12.4,6.9,38.9,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C048.png
C049,"String/Yard long bean seed, dried","Sitaw buto, tuyo",4.7,371,30.7,2.3,56.8,5.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa15.jpg
C050,"Velvet bean seed, dried",N/A,7.7,378,28.2,4.7,55.8,3.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa16.jpg
C051,"Chickpea, cnd","Garbansos, de lata",69,132,7.4,2.4,20.1,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C051.jpg
C052,"Coconut chip, toasted, sweetn",N/A,0.7,580,4.2,37.5,56.5,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C052.png
C053,"Coconut, cream curd",Latik,5.5,620,13.2,52,24.8,4.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0531.png
C054,"Green pea, dried, fried & seasoned","Gisantes, tuyo, prito, tinimpla",3.8,468,19,20.3,52.4,4.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C054.jpg
C055,"Green pea, in brine, cnd","Gisantes, de lata",70.9,118,6.9,1.1,20.1,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C055.jpg
C056,"Green pea-corn-peanut mixture, fried",N/A,1.5,511,19.8,26.5,48.4,3.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C056.jpg
C057,"Lima bean, fried & seasoned","Patani, prito, may timpla",4.1,500,24.4,26,42.2,3.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C057.jpg
C058,Peanut butter,N/A,0.3,616,25.4,45.4,26.4,2.5,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0581.png
C059,"Peanut butter, choc flvr",N/A,0.6,631,17.2,48.2,32,2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0591.png
C060,Peanut cracker,N/A,1.6,541,23,31.2,42.1,2.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0601.png
C061,"Soybean cheese, salted",Tahure,61.3,117,11.4,6.2,4,17.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0611.png
C062,"Soybean seed, black, fermented",Tausi,56.4,143,12,7.2,7.6,16.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C062.jpg
C063,"Soybean cheese, soft curd",Tofu,83.8,89,8.1,5.4,2,0.7,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C063_soybean_curd,_tofu1.png"
C064,"Soybean cheese, hard curd",Tokwa,77,123,12.9,7,2,1.1,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C064_soy_bean_curd,_tokwa1.png"
C065,Soybean pudding/ Geerlig's cheese,Taho/Tahu,92.7,34,2.9,1.4,2.4,0.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0652.png
C066,Soybean pudding/Geerlig's cheese w/ syrup & tapioca starch ball,"Taho/Tahu, may arnibal at sago",84.2,62,2.2,0.1,13.1,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C0661.png
C067,"Soybean paste, miso",Miso,66.1,144,13,3.5,15.2,2.2,"https://i.fnri.dost.gov.ph/assets/images/fct_pics/C067_soy_bean_paste,_miso1.png"
C068,"Soybean seed, yellow, cnd, drnd","Utaw, dilaw, de lata",57.9,138,11.8,5.9,9.4,15,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa17.jpg
C069,"Watermelon seed, dried, salted",Butong pakwan,9.9,562,40.2,43.2,3.1,3.6,https://i.fnri.dost.gov.ph/assets/images/fct_pics/C069.jpg
D001,American black nightshade lvs,Amti dahon,84.7,56,4.9,0.6,7.9,2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D001.png
D002,Apat-apat fern lvs,Four leaves clover/Kaya-kayapuan,66,131,7.6,0.4,24.2,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D002.png
D003,Aragan lvs,Ricefield waternymph,91.8,29,1.2,0.3,5.4,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa18.jpg
D004,Asystasia lvs & stems,Asistasia/Philippine violet,83.8,61,3.6,0.9,9.6,2.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa19.jpg
D005,Aurora lvs & stems,Three-lobed morning glory,73.2,108,2.8,1.9,19.9,2.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa20.jpg
D006,Bago lvs,Spanish joint-fir lvs,78.1,91,6.6,1.5,12.8,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa21.jpg
D007,"Bago lvs, boiled","Spanish joint-fir lvs, boiled",89.3,42,3,0.4,6.5,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa22.jpg
D008,"Bago bagin fruit, boiled","Spanish joint-fir, fruit, boiled",59.7,159,5.8,0.4,33.1,1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa23.jpg
D010,Bamboo shoot,Labong,92.8,28,1.9,0.4,4.1,0.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D010_BambooShoot1.jpg
D011,"Bamboo shoot, boiled","Labong, nilaga",93.6,26,1.2,0.3,4.5,0.4,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0111.png
D012,Banana stem,Ubod ng saging/Banana pith,94.8,16,0.8,0.1,3,1.3,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D0121.png
D013,"Banana heart, butuan","Puso, saging, butuan",89.7,39,1.6,0.4,7.2,1.1,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D013.jpg
D014,"Banana heart, butuan, boiled","Puso, saging, butuan, nilaga",95,18,0.9,0.2,3.2,0.7,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D014.jpg
D015,Bayuno fruit,Binjai,81.2,74,3,0.7,13.9,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/aaa24.jpg
D016,Beet,Remolacha,88.9,41,1.7,0.2,8,1.2,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D016.jpg
D017,"Beet, boiled","Remolacha, nilaga",87.1,45,1.9,0.1,9.1,1.8,https://i.fnri.dost.gov.ph/assets/images/fct_pics/D017.jpg
